Harvest plot ID,Partition ,Dry weight [g]
S1P01,Stipagrostis uniplumis,134.29
S1P01,Tribulus terrestris,0.11
S1P01,Melinis repens,1.16
S1P02,Stipagrostis uniplumis,136.44
S1P02,Tribulus terrestris,7.03
S1P03,Stipagrostis uniplumis,196.08
S1P04,Stipagrostis uniplumis,197.41
S1P04,Tribulus terrestris,2.63
S1P05,Stipagrostis uniplumis,53.92
S1P06,Schmidtia kalihariensis,0.72
S1P06,Stipagrostis uniplumis,60.52
S1P06,Tribulus terrestris,0.37
S1P07,Schmidtia kalihariensis,1.31
S1P07,Stipagrostis uniplumis,40.01
S1P08,Schmidtia kalihariensis,4.17
S1P08,Tribulus terrestris,0.51
S1P08,Milky stuff,0.04
S1P09,Schmidtia kalihariensis,0.15
S1P09,Stipagrostis uniplumis,11.88
S1P09,Tribulus terrestris,1.91
S1P09,Senna Italia,0.43
S1P10,Schmidtia kalihariensis,5.85
S1P10,Tribulus terrestris,2.58
S1P11,Schmidtia kalihariensis,12.57
S1P11,Senna Italia,0.46
S1P12,Schmidtia kalihariensis,19.02
S1P12,Stipagrostis uniplumis,0.05
S1P12,Tribulus terrestris,4.78
S1P13,Schmidtia kalihariensis,21.52
S1P13,Tribulus terrestris,2.72
S1P14,Schmidtia kalihariensis,12.88
S1P14,Tribulus terrestris,1.47
S1P15,Schmidtia kalihariensis,5.1
S1P15,Tribulus terrestris,0.22
S1P15,Gesikia,0.46
S1P16,Schmidtia kalihariensis,6.21
S1P16,Stipagrostis uniplumis,0.04
S1P16,Tribulus terrestris,1.23
S1P16,Melinis repens,3.28
S1P17,Schmidtia kalihariensis,9.68
S1P17,Tribulus terrestris,14.39
S1P18,Schmidtia kalihariensis,11.74
S1P18,Stipagrostis uniplumis,5.23
S1P18,Wild sesame,0.5
S1P19,Schmidtia kalihariensis,0.66
S1P19,Stipagrostis uniplumis,2.73
S1P19,Tribulus terrestris,13.03
S1P20,Tribulus terrestris,11.5
S1P20,Milky stuff,0.43
S1P21,Stipagrostis uniplumis,0.98
S1P21,Tribulus terrestris,8.4
S1P21,Gesikia,2.05
S1P22,Schmidtia kalihariensis,0.78
S1P22,Tribulus terrestris,34.09
S1P23,Schmidtia kalihariensis,1.41
S1P23,Tribulus terrestris,17.52
S1P24,Schmidtia kalihariensis,0.66
S1P24,Tribulus terrestris,15.53
S1P24,Melinis repens,3.52
S1P25,Schmidtia kalihariensis,1.98
S1P25,Stipagrostis uniplumis,5.35
S1P25,Tribulus terrestris,17.52
S1P25,Aristida stipitata,0.96
S1P26,Schmidtia kalihariensis,3.81
S1P26,Stipagrostis uniplumis,8.35
S1P26,Tribulus terrestris,31.88
S1P27,Schmidtia kalihariensis,0.54
S1P27,Tribulus terrestris,24.31
S1P28,Schmidtia kalihariensis,2.26
S1P28,Stipagrostis uniplumis,3.39
S1P28,Tribulus terrestris,60.88
S1P29,Stipagrostis uniplumis,22.28
S1P29,Tribulus terrestris,1.28
S1P29,Melinis repens,1.34
S1P29,Hairy grey purple,0.12
S1P30,Stipagrostis uniplumis,37.98
S1P30,Tribulus terrestris,6.99
S2P01,Schmidtia kalihariensis,25.25
S2P01,Beans,0.22
S2P02,Schmidtia kalihariensis,15.36
S2P02,Tribulus terrestris,2.94
S2P03,Schmidtia kalihariensis,20.52
S2P04,Schmidtia kalihariensis,4.44
S2P04,Stipagrostis uniplumis,289.65
S2P04,Beans,0.05
S2P05,Schmidtia kalihariensis,4.22
S2P05,Stipagrostis uniplumis,177.55
S2P05,Gesikia,0.18
S2P05,Beans,0.38
S2P06,Schmidtia kalihariensis,9.72
S2P06,Stipagrostis uniplumis,154.14
S2P06,Tribulus terrestris,0.42
S2P06,Beans,0.52
S2P06,White satan,1.01
S2P07,Schmidtia kalihariensis,16.69
S2P07,Stipagrostis uniplumis,1.12
S2P07,Tribulus terrestris,2.42
S2P07,Beans,0.18
S2P08,Schmidtia kalihariensis,10.81
S2P08,Tribulus terrestris,49.58
S2P09,Schmidtia kalihariensis,8.72
S2P09,Tribulus terrestris,38.18
S2P10,Schmidtia kalihariensis,6.16
S2P10,Tribulus terrestris,34.81
S2P10,Beans,1.9
S2P11,Schmidtia kalihariensis,17.52
S2P11,Stipagrostis uniplumis,70.8
S2P11,Tribulus terrestris,0.17
S2P11,Beans,0.18
S2P12,Tribulus terrestris,56.13
S2P12,Beans,0.1
S2P13,Schmidtia kalihariensis,5.2
S2P13,Tribulus terrestris,33.02
S2P13,Beans,1.26
S2P13,White satan,2.45
S2P14,Schmidtia kalihariensis,25.25
S2P14,Tribulus terrestris,1.59
S2P14,Beans,0.72
S2P15,Stipagrostis uniplumis,1.22
S2P15,Tribulus terrestris,27.51
S2P16,Schmidtia kalihariensis,6.96
S2P16,Stipagrostis uniplumis,0.99
S2P16,Tribulus terrestris,33.06
S2P16,Forb,2.48
S2P17,Schmidtia kalihariensis,18.54
S2P17,Stipagrostis uniplumis,0.3
S2P17,Tribulus terrestris,1.02
S2P17,Beans,1.69
S2P17,White satan,0.62
S2P18,Schmidtia kalihariensis,6.36
S2P18,Stipagrostis uniplumis,34.48
S2P18,Beans,1
S2P19,Schmidtia kalihariensis,23.13
S2P19,Beans,0.53
S2P20,Stipagrostis uniplumis,250.63
S2P21,Schmidtia kalihariensis,3.37
S2P21,Stipagrostis uniplumis,157.52
S2P21,Tribulus terrestris,2.18
S2P22,Schmidtia kalihariensis,32.46
S2P22,Tribulus terrestris,7.92
S2P23,Schmidtia kalihariensis,3.58
S2P23,Tribulus terrestris,28.57
S2P23,Beans,2.47
S2P23,Forb,1.25
S2P24,Schmidtia kalihariensis,7.52
S2P24,Tribulus terrestris,23.99
S2P25,Schmidtia kalihariensis,12.87
S2P25,Beans,0.68
S2P26,Schmidtia kalihariensis,4.18
S2P26,Tribulus terrestris,36.52
S2P27,Schmidtia kalihariensis,3.73
S2P27,Stipagrostis uniplumis,81.51
S2P27,Tribulus terrestris,1.94
S2P28,Schmidtia kalihariensis,8.44
S2P28,Stipagrostis uniplumis,32.46
S2P29,Schmidtia kalihariensis,27.52
S2P29,Tribulus terrestris,1.84
S2P30,Schmidtia kalihariensis,8.55
S2P30,Stipagrostis uniplumis,96.26
S2P30,Tribulus terrestris,1.26
S2P30,Beans,1.1
S2P30,Forb,1.41
S2P30,Forb 2,1.01
S3P01,Stipagrostis uniplumis,39.25
S3P01,Schmidtia pappophoroides,32.92
S3P02,Stipagrostis uniplumis,74.5
S3P02,Schmidtia pappophoroides,6.98
S3P03,Tall Bushman,93.29
S3P04,Tall Bushman,8.64
S3P04,Stipagrostis uniplumis,13.51
S3P05,Stipagrostis uniplumis,34.37
S3P05,Eragrostis pallens,56.67
S3P06,Stipagrostis uniplumis,45.04
S3P07,Tall Bushman,113.07
S3P08,Stipagrostis uniplumis,78.87
S3P09,Stipagrostis uniplumis,37.86
S3P10,Tall Bushman,137.52
S3P10,Stipagrostis uniplumis,11.72
S3P11,Stipagrostis uniplumis,15.26
S3P11,Schmidtia pappophoroides,73.72
S3P12,Eragrostis pallens,135.94
S3P13,Tall Bushman,143.49
S3P13,Stipagrostis uniplumis,44.97
S3P14,Stipagrostis uniplumis,229.93
S3P15,Stipagrostis uniplumis,189.88
S3P16,Stipagrostis uniplumis,137.53
S3P17,Tall Bushman,59.16
S3P17,Stipagrostis uniplumis,50.67
S3P18,Stipagrostis uniplumis,4.02
S3P18,Schmidtia kalihariensis,3.92
S3P19,Schmidtia pappophoroides,16.34
S3P20,Schmidtia pappophoroides,131.64
S3P21,Stipagrostis uniplumis,192.53
S3P22,Stipagrostis uniplumis,8.09
S3P22,Schmidtia pappophoroides,60.73
S3P23,Stipagrostis uniplumis,78.97
S3P24,Tall Bushman,119.65
S3P25,Tall Bushman,46.03
S3P25,Stipagrostis uniplumis,34.05
S3P25,Forb 1,8.59
S3P26,Tall Bushman,82.44
S3P26,Stipagrostis uniplumis,16.44
S3P27,Stipagrostis uniplumis,32.65
S3P27,Forb 1,0.21
S3P27,Forb 2,0.9
S3P28,Schmidtia pappophoroides,100.28
S3P29,Tall Bushman,11.17
S3P29,Schmidtia kalihariensis,16.37
S3P30,Stipagrostis uniplumis,40.03
S3P30,Schmidtia pappophoroides,130.54
