Harvest plot ID,Species,Dry weight [g],Ecological class,Grazing value
S1P01,Stipagrostis uniplumis,134.29,3,5
S1P01,Tribulus terrestris,0.11,5,1
S1P01,Melinis repens,1.16,5,1
S1P02,Stipagrostis uniplumis,136.44,3,5
S1P02,Tribulus terrestris,7.03,5,1
S1P03,Stipagrostis uniplumis,196.08,3,5
S1P04,Stipagrostis uniplumis,197.41,3,5
S1P04,Tribulus terrestris,2.63,5,1
S1P05,Stipagrostis uniplumis,53.92,3,5
S1P06,Schmidtia kalihariensis,0.72,5,1
S1P06,Stipagrostis uniplumis,60.52,3,5
S1P06,Tribulus terrestris,0.37,5,1
S1P07,Schmidtia kalihariensis,1.31,5,1
S1P07,Stipagrostis uniplumis,40.01,3,5
S1P08,Schmidtia kalihariensis,4.17,5,1
S1P08,Tribulus terrestris,0.51,5,1
S1P08,Milky stuff,0.04,5,1
S1P09,Schmidtia kalihariensis,0.15,5,1
S1P09,Stipagrostis uniplumis,11.88,3,5
S1P09,Tribulus terrestris,1.91,5,1
S1P09,Senna Italia,0.43,5,1
S1P10,Schmidtia kalihariensis,5.85,5,1
S1P10,Tribulus terrestris,2.58,5,1
S1P11,Schmidtia kalihariensis,12.57,5,1
S1P11,Senna Italia,0.46,5,1
S1P12,Schmidtia kalihariensis,19.02,5,1
S1P12,Stipagrostis uniplumis,0.05,3,5
S1P12,Tribulus terrestris,4.78,5,1
S1P13,Schmidtia kalihariensis,21.52,5,1
S1P13,Tribulus terrestris,2.72,5,1
S1P14,Schmidtia kalihariensis,12.88,5,1
S1P14,Tribulus terrestris,1.47,5,1
S1P15,Schmidtia kalihariensis,5.1,5,1
S1P15,Tribulus terrestris,0.22,5,1
S1P15,Gesikia,0.46,5,1
S1P16,Schmidtia kalihariensis,6.21,5,1
S1P16,Stipagrostis uniplumis,0.04,3,5
S1P16,Tribulus terrestris,1.23,5,1
S1P16,Melinis repens,3.28,5,1
S1P17,Schmidtia kalihariensis,9.68,5,1
S1P17,Tribulus terrestris,14.39,5,1
S1P18,Schmidtia kalihariensis,11.74,5,1
S1P18,Stipagrostis uniplumis,5.23,3,5
S1P18,Wild sesame,0.5,5,1
S1P19,Schmidtia kalihariensis,0.66,5,1
S1P19,Stipagrostis uniplumis,2.73,3,5
S1P19,Tribulus terrestris,13.03,5,1
S1P20,Tribulus terrestris,11.5,5,1
S1P20,Milky stuff,0.43,5,1
S1P21,Stipagrostis uniplumis,0.98,3,5
S1P21,Tribulus terrestris,8.4,5,1
S1P21,Gesikia,2.05,5,1
S1P22,Schmidtia kalihariensis,0.78,5,1
S1P22,Tribulus terrestris,34.09,5,1
S1P23,Schmidtia kalihariensis,1.41,5,1
S1P23,Tribulus terrestris,17.52,5,1
S1P24,Schmidtia kalihariensis,0.66,5,1
S1P24,Tribulus terrestris,15.53,5,1
S1P24,Melinis repens,3.52,5,1
S1P25,Schmidtia kalihariensis,1.98,5,1
S1P25,Stipagrostis uniplumis,5.35,3,5
S1P25,Tribulus terrestris,17.52,5,1
S1P25,Aristida stipitata,0.96,5,1
S1P26,Schmidtia kalihariensis,3.81,5,1
S1P26,Stipagrostis uniplumis,8.35,3,5
S1P26,Tribulus terrestris,31.88,5,1
S1P27,Schmidtia kalihariensis,0.54,5,1
S1P27,Tribulus terrestris,24.31,5,1
S1P28,Schmidtia kalihariensis,2.26,5,1
S1P28,Stipagrostis uniplumis,3.39,3,5
S1P28,Tribulus terrestris,60.88,5,1
S1P29,Stipagrostis uniplumis,22.28,3,5
S1P29,Tribulus terrestris,1.28,5,1
S1P29,Melinis repens,1.34,5,1
S1P29,Hairy grey purple,0.12,5,1
S1P30,Stipagrostis uniplumis,37.98,3,5
S1P30,Tribulus terrestris,6.99,5,1
S2P01,Schmidtia kalihariensis,25.25,5,1
S2P01,Beans,0.22,5,1
S2P02,Schmidtia kalihariensis,15.36,5,1
S2P02,Tribulus terrestris,2.94,5,1
S2P03,Schmidtia kalihariensis,20.52,5,1
S2P04,Schmidtia kalihariensis,4.44,5,1
S2P04,Stipagrostis uniplumis,289.65,3,5
S2P04,Beans,0.05,5,1
S2P05,Schmidtia kalihariensis,4.22,5,1
S2P05,Stipagrostis uniplumis,177.55,3,5
S2P05,Gesikia,0.18,5,1
S2P05,Beans,0.38,5,1
S2P06,Schmidtia kalihariensis,9.72,5,1
S2P06,Stipagrostis uniplumis,154.14,3,5
S2P06,Tribulus terrestris,0.42,5,1
S2P06,Beans,0.52,5,1
S2P06,White satan,1.01,5,1
S2P07,Schmidtia kalihariensis,16.69,5,1
S2P07,Stipagrostis uniplumis,1.12,3,5
S2P07,Tribulus terrestris,2.42,5,1
S2P07,Beans,0.18,5,1
S2P08,Schmidtia kalihariensis,10.81,5,1
S2P08,Tribulus terrestris,49.58,5,1
S2P09,Schmidtia kalihariensis,8.72,5,1
S2P09,Tribulus terrestris,38.18,5,1
S2P10,Schmidtia kalihariensis,6.16,5,1
S2P10,Tribulus terrestris,34.81,5,1
S2P10,Beans,1.9,5,1
S2P11,Schmidtia kalihariensis,17.52,5,1
S2P11,Stipagrostis uniplumis,70.8,3,5
S2P11,Tribulus terrestris,0.17,5,1
S2P11,Beans,0.18,5,1
S2P12,Tribulus terrestris,56.13,5,1
S2P12,Beans,0.1,5,1
S2P13,Schmidtia kalihariensis,5.2,5,1
S2P13,Tribulus terrestris,33.02,5,1
S2P13,Beans,1.26,5,1
S2P13,White satan,2.45,5,1
S2P14,Schmidtia kalihariensis,25.25,5,1
S2P14,Tribulus terrestris,1.59,5,1
S2P14,Beans,0.72,5,1
S2P15,Stipagrostis uniplumis,1.22,3,5
S2P15,Tribulus terrestris,27.51,5,1
S2P16,Schmidtia kalihariensis,6.96,5,1
S2P16,Stipagrostis uniplumis,0.99,3,5
S2P16,Tribulus terrestris,33.06,5,1
S2P16,Forb,2.48,5,1
S2P17,Schmidtia kalihariensis,18.54,5,1
S2P17,Stipagrostis uniplumis,0.3,3,5
S2P17,Tribulus terrestris,1.02,5,1
S2P17,Beans,1.69,5,1
S2P17,White satan,0.62,5,1
S2P18,Schmidtia kalihariensis,6.36,5,1
S2P18,Stipagrostis uniplumis,34.48,3,5
S2P18,Beans,1,5,1
S2P19,Schmidtia kalihariensis,23.13,5,1
S2P19,Beans,0.53,5,1
S2P20,Stipagrostis uniplumis,250.63,3,5
S2P21,Schmidtia kalihariensis,3.37,5,1
S2P21,Stipagrostis uniplumis,157.52,3,5
S2P21,Tribulus terrestris,2.18,5,1
S2P22,Schmidtia kalihariensis,32.46,5,1
S2P22,Tribulus terrestris,7.92,5,1
S2P23,Schmidtia kalihariensis,3.58,5,1
S2P23,Tribulus terrestris,28.57,5,1
S2P23,Beans,2.47,5,1
S2P23,Forb,1.25,5,1
S2P24,Schmidtia kalihariensis,7.52,5,1
S2P24,Tribulus terrestris,23.99,5,1
S2P25,Schmidtia kalihariensis,12.87,5,1
S2P25,Beans,0.68,5,1
S2P26,Schmidtia kalihariensis,4.18,5,1
S2P26,Tribulus terrestris,36.52,5,1
S2P27,Schmidtia kalihariensis,3.73,5,1
S2P27,Stipagrostis uniplumis,81.51,3,5
S2P27,Tribulus terrestris,1.94,5,1
S2P28,Schmidtia kalihariensis,8.44,5,1
S2P28,Stipagrostis uniplumis,32.46,3,5
S2P29,Schmidtia kalihariensis,27.52,5,1
S2P29,Tribulus terrestris,1.84,5,1
S2P30,Schmidtia kalihariensis,8.55,5,1
S2P30,Stipagrostis uniplumis,96.26,3,5
S2P30,Tribulus terrestris,1.26,5,1
S2P30,Beans,1.1,5,1
S2P30,Forb,1.41,5,1
S2P30,Forb 2,1.01,5,1
S3P01,Stipagrostis uniplumis,39.25,3,5
S3P01,Schmidtia pappophoroides,32.92,2,7
S3P02,Stipagrostis uniplumis,74.5,3,5
S3P02,Schmidtia pappophoroides,6.98,2,7
S3P03,Tall Bushman,93.29,2,7
S3P04,Tall Bushman,8.64,2,7
S3P04,Stipagrostis uniplumis,13.51,3,5
S3P05,Stipagrostis uniplumis,34.37,3,5
S3P05,Eragrostis pallens,56.67,5,1
S3P06,Stipagrostis uniplumis,45.04,3,5
S3P07,Tall Bushman,113.07,2,7
S3P08,Stipagrostis uniplumis,78.87,3,5
S3P09,Stipagrostis uniplumis,37.86,3,5
S3P10,Tall Bushman,137.52,2,7
S3P10,Stipagrostis uniplumis,11.72,3,5
S3P11,Stipagrostis uniplumis,15.26,3,5
S3P11,Schmidtia pappophoroides,73.72,2,7
S3P12,Eragrostis pallens,135.94,5,1
S3P13,Tall Bushman,143.49,2,7
S3P13,Stipagrostis uniplumis,44.97,3,5
S3P14,Stipagrostis uniplumis,229.93,3,5
S3P15,Stipagrostis uniplumis,189.88,3,5
S3P16,Stipagrostis uniplumis,137.53,3,5
S3P17,Tall Bushman,59.16,2,7
S3P17,Stipagrostis uniplumis,50.67,3,5
S3P18,Stipagrostis uniplumis,4.02,3,5
S3P18,Schmidtia kalihariensis,3.92,5,1
S3P19,Schmidtia pappophoroides,16.34,2,7
S3P20,Schmidtia pappophoroides,131.64,2,7
S3P21,Stipagrostis uniplumis,192.53,3,5
S3P22,Stipagrostis uniplumis,8.09,3,5
S3P22,Schmidtia pappophoroides,60.73,2,7
S3P23,Stipagrostis uniplumis,78.97,3,5
S3P24,Tall Bushman,119.65,2,7
S3P25,Tall Bushman,46.03,2,7
S3P25,Stipagrostis uniplumis,34.05,3,5
S3P25,Forb 1,8.59,5,1
S3P26,Tall Bushman,82.44,2,7
S3P26,Stipagrostis uniplumis,16.44,3,5
S3P27,Stipagrostis uniplumis,32.65,3,5
S3P27,Forb 1,0.21,5,1
S3P27,Forb 2,0.9,5,1
S3P28,Schmidtia pappophoroides,100.28,2,7
S3P29,Tall Bushman,11.17,2,7
S3P29,Schmidtia kalihariensis,16.37,5,1
S3P30,Stipagrostis uniplumis,40.03,3,5
S3P30,Schmidtia pappophoroides,130.54,2,7
