Harvest_plot_ID,Species,Dry weight [g],AGB_g_sq_m,Grazing_class,Grazing_value
S1P01,Stipagrostis uniplumis,134.29,392.6608187,3,5
S1P01,Tribulus terrestris,0.11,0.321637427,5,1
S1P01,Melinis repens,1.16,3.391812865,5,1
S1P02,Stipagrostis uniplumis,136.44,398.9473684,3,5
S1P02,Tribulus terrestris,7.03,20.55555556,5,1
S1P03,Stipagrostis uniplumis,196.08,573.3333333,3,5
S1P04,Stipagrostis uniplumis,197.41,577.2222222,3,5
S1P04,Tribulus terrestris,2.63,7.69005848,5,1
S1P05,Stipagrostis uniplumis,53.92,157.6608187,3,5
S1P06,Schmidtia kalihariensis,0.72,2.105263158,5,1
S1P06,Stipagrostis uniplumis,60.52,176.9590643,3,5
S1P06,Tribulus terrestris,0.37,1.081871345,5,1
S1P07,Schmidtia kalihariensis,1.31,3.830409357,5,1
S1P07,Stipagrostis uniplumis,40.01,116.9883041,3,5
S1P08,Schmidtia kalihariensis,4.17,12.19298246,5,1
S1P08,Tribulus terrestris,0.51,1.49122807,5,1
S1P08,Milky stuff,0.04,0.116959064,5,1
S1P09,Schmidtia kalihariensis,0.15,0.438596491,5,1
S1P09,Stipagrostis uniplumis,11.88,34.73684211,3,5
S1P09,Tribulus terrestris,1.91,5.584795322,5,1
S1P09,Senna Italia,0.43,1.257309942,5,1
S1P10,Schmidtia kalihariensis,5.85,17.10526316,5,1
S1P10,Tribulus terrestris,2.58,7.543859649,5,1
S1P11,Schmidtia kalihariensis,12.57,36.75438596,5,1
S1P11,Senna Italia,0.46,1.34502924,5,1
S1P12,Schmidtia kalihariensis,19.02,55.61403509,5,1
S1P12,Stipagrostis uniplumis,0.05,0.14619883,3,5
S1P12,Tribulus terrestris,4.78,13.97660819,5,1
S1P13,Schmidtia kalihariensis,21.52,62.92397661,5,1
S1P13,Tribulus terrestris,2.72,7.953216374,5,1
S1P14,Schmidtia kalihariensis,12.88,37.66081871,5,1
S1P14,Tribulus terrestris,1.47,4.298245614,5,1
S1P15,Schmidtia kalihariensis,5.1,14.9122807,5,1
S1P15,Tribulus terrestris,0.22,0.643274854,5,1
S1P15,Gesikia,0.46,1.34502924,5,1
S1P16,Schmidtia kalihariensis,6.21,18.15789474,5,1
S1P16,Stipagrostis uniplumis,0.04,0.116959064,3,5
S1P16,Tribulus terrestris,1.23,3.596491228,5,1
S1P16,Melinis repens,3.28,9.590643275,5,1
S1P17,Schmidtia kalihariensis,9.68,28.30409357,5,1
S1P17,Tribulus terrestris,14.39,42.07602339,5,1
S1P18,Schmidtia kalihariensis,11.74,34.32748538,5,1
S1P18,Stipagrostis uniplumis,5.23,15.29239766,3,5
S1P18,Wild sesame,0.5,1.461988304,5,1
S1P19,Schmidtia kalihariensis,0.66,1.929824561,5,1
S1P19,Stipagrostis uniplumis,2.73,7.98245614,3,5
S1P19,Tribulus terrestris,13.03,38.0994152,5,1
S1P20,Tribulus terrestris,11.5,33.62573099,5,1
S1P20,Milky stuff,0.43,1.257309942,5,1
S1P21,Stipagrostis uniplumis,0.98,2.865497076,3,5
S1P21,Tribulus terrestris,8.4,24.56140351,5,1
S1P21,Gesikia,2.05,5.994152047,5,1
S1P22,Schmidtia kalihariensis,0.78,2.280701754,5,1
S1P22,Tribulus terrestris,34.09,99.67836257,5,1
S1P23,Schmidtia kalihariensis,1.41,4.122807018,5,1
S1P23,Tribulus terrestris,17.52,51.22807018,5,1
S1P24,Schmidtia kalihariensis,0.66,1.929824561,5,1
S1P24,Tribulus terrestris,15.53,45.40935673,5,1
S1P24,Melinis repens,3.52,10.29239766,5,1
S1P25,Schmidtia kalihariensis,1.98,5.789473684,5,1
S1P25,Stipagrostis uniplumis,5.35,15.64327485,3,5
S1P25,Tribulus terrestris,17.52,51.22807018,5,1
S1P25,Aristida stipitata,0.96,2.807017544,5,1
S1P26,Schmidtia kalihariensis,3.81,11.14035088,5,1
S1P26,Stipagrostis uniplumis,8.35,24.41520468,3,5
S1P26,Tribulus terrestris,31.88,93.21637427,5,1
S1P27,Schmidtia kalihariensis,0.54,1.578947368,5,1
S1P27,Tribulus terrestris,24.31,71.08187135,5,1
S1P28,Schmidtia kalihariensis,2.26,6.608187135,5,1
S1P28,Stipagrostis uniplumis,3.39,9.912280702,3,5
S1P28,Tribulus terrestris,60.88,178.0116959,5,1
S1P29,Stipagrostis uniplumis,22.28,65.14619883,3,5
S1P29,Tribulus terrestris,1.28,3.742690058,5,1
S1P29,Melinis repens,1.34,3.918128655,5,1
S1P29,Hairy grey purple,0.12,0.350877193,5,1
S1P30,Stipagrostis uniplumis,37.98,111.0526316,3,5
S1P30,Tribulus terrestris,6.99,20.43859649,5,1
S2P01,Schmidtia kalihariensis,25.25,73.83040936,5,1
S2P01,Beans,0.22,0.643274854,5,1
S2P02,Schmidtia kalihariensis,15.36,44.9122807,5,1
S2P02,Tribulus terrestris,2.94,8.596491228,5,1
S2P03,Schmidtia kalihariensis,20.52,60,5,1
S2P04,Schmidtia kalihariensis,4.44,12.98245614,5,1
S2P04,Stipagrostis uniplumis,289.65,846.9298246,3,5
S2P04,Beans,0.05,0.14619883,5,1
S2P05,Schmidtia kalihariensis,4.22,12.33918129,5,1
S2P05,Stipagrostis uniplumis,177.55,519.1520468,3,5
S2P05,Gesikia,0.18,0.526315789,5,1
S2P05,Beans,0.38,1.111111111,5,1
S2P06,Schmidtia kalihariensis,9.72,28.42105263,5,1
S2P06,Stipagrostis uniplumis,154.14,450.7017544,3,5
S2P06,Tribulus terrestris,0.42,1.228070175,5,1
S2P06,Beans,0.52,1.520467836,5,1
S2P06,White satan,1.01,2.953216374,5,1
S2P07,Schmidtia kalihariensis,16.69,48.80116959,5,1
S2P07,Stipagrostis uniplumis,1.12,3.274853801,3,5
S2P07,Tribulus terrestris,2.42,7.076023392,5,1
S2P07,Beans,0.18,0.526315789,5,1
S2P08,Schmidtia kalihariensis,10.81,31.60818713,5,1
S2P08,Tribulus terrestris,49.58,144.9707602,5,1
S2P09,Schmidtia kalihariensis,8.72,25.49707602,5,1
S2P09,Tribulus terrestris,38.18,111.6374269,5,1
S2P10,Schmidtia kalihariensis,6.16,18.01169591,5,1
S2P10,Tribulus terrestris,34.81,101.7836257,5,1
S2P10,Beans,1.9,5.555555556,5,1
S2P11,Schmidtia kalihariensis,17.52,51.22807018,5,1
S2P11,Stipagrostis uniplumis,70.8,207.0175439,3,5
S2P11,Tribulus terrestris,0.17,0.497076023,5,1
S2P11,Beans,0.18,0.526315789,5,1
S2P12,Tribulus terrestris,56.13,164.122807,5,1
S2P12,Beans,0.1,0.292397661,5,1
S2P13,Schmidtia kalihariensis,5.2,15.20467836,5,1
S2P13,Tribulus terrestris,33.02,96.5497076,5,1
S2P13,Beans,1.26,3.684210526,5,1
S2P13,White satan,2.45,7.16374269,5,1
S2P14,Schmidtia kalihariensis,25.25,73.83040936,5,1
S2P14,Tribulus terrestris,1.59,4.649122807,5,1
S2P14,Beans,0.72,2.105263158,5,1
S2P15,Stipagrostis uniplumis,1.22,3.567251462,3,5
S2P15,Tribulus terrestris,27.51,80.43859649,5,1
S2P16,Schmidtia kalihariensis,6.96,20.35087719,5,1
S2P16,Stipagrostis uniplumis,0.99,2.894736842,3,5
S2P16,Tribulus terrestris,33.06,96.66666667,5,1
S2P16,Forb,2.48,7.251461988,5,1
S2P17,Schmidtia kalihariensis,18.54,54.21052632,5,1
S2P17,Stipagrostis uniplumis,0.3,0.877192982,3,5
S2P17,Tribulus terrestris,1.02,2.98245614,5,1
S2P17,Beans,1.69,4.941520468,5,1
S2P17,White satan,0.62,1.812865497,5,1
S2P18,Schmidtia kalihariensis,6.36,18.59649123,5,1
S2P18,Stipagrostis uniplumis,34.48,100.8187135,3,5
S2P18,Beans,1,2.923976608,5,1
S2P19,Schmidtia kalihariensis,23.13,67.63157895,5,1
S2P19,Beans,0.53,1.549707602,5,1
S2P20,Stipagrostis uniplumis,250.63,732.8362573,3,5
S2P21,Schmidtia kalihariensis,3.37,9.85380117,5,1
S2P21,Stipagrostis uniplumis,157.52,460.5847953,3,5
S2P21,Tribulus terrestris,2.18,6.374269006,5,1
S2P22,Schmidtia kalihariensis,32.46,94.9122807,5,1
S2P22,Tribulus terrestris,7.92,23.15789474,5,1
S2P23,Schmidtia kalihariensis,3.58,10.46783626,5,1
S2P23,Tribulus terrestris,28.57,83.5380117,5,1
S2P23,Beans,2.47,7.222222222,5,1
S2P23,Forb,1.25,3.65497076,5,1
S2P24,Schmidtia kalihariensis,7.52,21.98830409,5,1
S2P24,Tribulus terrestris,23.99,70.14619883,5,1
S2P25,Schmidtia kalihariensis,12.87,37.63157895,5,1
S2P25,Beans,0.68,1.988304094,5,1
S2P26,Schmidtia kalihariensis,4.18,12.22222222,5,1
S2P26,Tribulus terrestris,36.52,106.7836257,5,1
S2P27,Schmidtia kalihariensis,3.73,10.90643275,5,1
S2P27,Stipagrostis uniplumis,81.51,238.3333333,3,5
S2P27,Tribulus terrestris,1.94,5.67251462,5,1
S2P28,Schmidtia kalihariensis,8.44,24.67836257,5,1
S2P28,Stipagrostis uniplumis,32.46,94.9122807,3,5
S2P29,Schmidtia kalihariensis,27.52,80.46783626,5,1
S2P29,Tribulus terrestris,1.84,5.380116959,5,1
S2P30,Schmidtia kalihariensis,8.55,25,5,1
S2P30,Stipagrostis uniplumis,96.26,281.4619883,3,5
S2P30,Tribulus terrestris,1.26,3.684210526,5,1
S2P30,Beans,1.1,3.216374269,5,1
S2P30,Forb,1.41,4.122807018,5,1
S2P30,Forb 2,1.01,2.953216374,5,1
S3P01,Stipagrostis uniplumis,39.25,114.7660819,3,5
S3P01,Schmidtia pappophoroides,32.92,96.25730994,2,7
S3P02,Stipagrostis uniplumis,74.5,217.8362573,3,5
S3P02,Schmidtia pappophoroides,6.98,20.40935673,2,7
S3P03,Tall Bushman,93.29,272.7777778,2,7
S3P04,Tall Bushman,8.64,25.26315789,2,7
S3P04,Stipagrostis uniplumis,13.51,39.50292398,3,5
S3P05,Stipagrostis uniplumis,34.37,100.497076,3,5
S3P05,Eragrostis pallens,56.67,165.7017544,5,1
S3P06,Stipagrostis uniplumis,45.04,131.6959064,3,5
S3P07,Tall Bushman,113.07,330.6140351,2,7
S3P08,Stipagrostis uniplumis,78.87,230.6140351,3,5
S3P09,Stipagrostis uniplumis,37.86,110.7017544,3,5
S3P10,Tall Bushman,137.52,402.1052632,2,7
S3P10,Stipagrostis uniplumis,11.72,34.26900585,3,5
S3P11,Stipagrostis uniplumis,15.26,44.61988304,3,5
S3P11,Schmidtia pappophoroides,73.72,215.5555556,2,7
S3P12,Eragrostis pallens,135.94,397.4853801,5,1
S3P13,Tall Bushman,143.49,419.5614035,2,7
S3P13,Stipagrostis uniplumis,44.97,131.4912281,3,5
S3P14,Stipagrostis uniplumis,229.93,672.3099415,3,5
S3P15,Stipagrostis uniplumis,189.88,555.2046784,3,5
S3P16,Stipagrostis uniplumis,137.53,402.1345029,3,5
S3P17,Tall Bushman,59.16,172.9824561,2,7
S3P17,Stipagrostis uniplumis,50.67,148.1578947,3,5
S3P18,Stipagrostis uniplumis,4.02,11.75438596,3,5
S3P18,Schmidtia kalihariensis,3.92,11.4619883,5,1
S3P19,Schmidtia pappophoroides,16.34,47.77777778,2,7
S3P20,Schmidtia pappophoroides,131.64,384.9122807,2,7
S3P21,Stipagrostis uniplumis,192.53,562.9532164,3,5
S3P22,Stipagrostis uniplumis,8.09,23.65497076,3,5
S3P22,Schmidtia pappophoroides,60.73,177.5730994,2,7
S3P23,Stipagrostis uniplumis,78.97,230.9064327,3,5
S3P24,Tall Bushman,119.65,349.8538012,2,7
S3P25,Tall Bushman,46.03,134.5906433,2,7
S3P25,Stipagrostis uniplumis,34.05,99.56140351,3,5
S3P25,Forb 1,8.59,25.11695906,5,1
S3P26,Tall Bushman,82.44,241.0526316,2,7
S3P26,Stipagrostis uniplumis,16.44,48.07017544,3,5
S3P27,Stipagrostis uniplumis,32.65,95.46783626,3,5
S3P27,Forb 1,0.21,0.614035088,5,1
S3P27,Forb 2,0.9,2.631578947,5,1
S3P28,Schmidtia pappophoroides,100.28,293.2163743,2,7
S3P29,Tall Bushman,11.17,32.66081871,2,7
S3P29,Schmidtia kalihariensis,16.37,47.86549708,5,1
S3P30,Stipagrostis uniplumis,40.03,117.0467836,3,5
S3P30,Schmidtia pappophoroides,130.54,381.6959064,2,7
