Plot_ID,Easting(m),Northing(m),Altitude(m),Accuracy,mean.B1_Blue,mean.B2_Green,mean.B3_Red,mean.B4_RedEdge,mean.B5_NIR,Mean_NDVI,Mean_EVI,Mean_OSAVI,Mean_TDVI,Mean_GDVI,Mean_TCARI,Mean_MCARI,Mean_NDRE,Mean_GCI
S1P01,522836.468,7337020.193,1160.869873,0.005,25166.646484375,25287.841796875,23405.703125,30978.17578125,32329.3828125,0.17010831832885742,23.090662002563477,0.17010778188705444,0.40565165877342224,7041.5390625,25693.5078125,13016.1064453125,0.02463427186012268,0.33828455209732056
S1P02,522836.5251,7337015.21,1160.762695,0.005,24750.279296875,26089.66015625,23547.443359375,29627.5078125,32256.078125,0.15800099074840546,0.3925410211086273,0.15800052881240845,0.39187631011009216,6166.419921875,25360.326171875,11589.5146484375,0.043230753391981125,0.25786128640174866
S1P03,522836.5926,7337012.35,1160.792603,0.005,21071.044921875,22685.48828125,19291.98046875,27666.478515625,30764.123046875,0.23652681708335876,-12.286198616027832,0.2365260124206543,0.5618332028388977,8078.6337890625,33158.66015625,17133.765625,0.054895102977752686,0.3881432116031647
S1P04,522842.164,7337008.04,1161.248779,0.005,30904.876953125,31146.1015625,29660.0390625,35802.31640625,36923.26171875,0.12074629217386246,1.6823970079421997,0.1207459568977356,0.2936074435710907,5777.16064453125,20975.052734375,9808.8359375,0.019687887281179428,0.24732661247253418
S1P05,522838.1946,7337001.743,1160.852295,0.005,32534.806640625,31583.017578125,29677.955078125,32777.8984375,34736.66796875,0.08804153650999069,-1.8396885395050049,0.0880412757396698,0.19529381394386292,3153.649169921875,14358.5537109375,8026.6982421875,0.030978815630078316,0.16863974928855896
S1P06,522826.4553,7336998.198,1160.063232,0.005,28934.689453125,29932.08984375,28908.51171875,36686.4609375,38107.8828125,0.15337680280208588,-0.3359884023666382,0.15337637066841125,0.3666455149650574,8175.79443359375,26439.181640625,12984.494140625,0.02282983437180519,0.3446512222290039
S1P07,522822.4244,7336994.088,1160.039673,0.005,32540.21484375,31877.513671875,30746.59765625,34350.90234375,36635.79296875,0.10225438326597214,-0.3230002522468567,0.10225409269332886,0.26002201437950134,4758.279296875,17224.486328125,7246.90283203125,0.036096133291721344,0.18878379464149475
S1P08,522813.5829,7336991.333,1159.526978,0.005,43519.53125,43447.453125,41068.859375,45057.04296875,47059.7890625,0.07623874396085739,-0.09940382838249207,0.07623858749866486,0.1869201511144638,3612.3359375,17505.244140625,8478.5625,0.022672848775982857,0.10866649448871613
S1P09,522811.1042,7336995.543,1159.386841,0.005,40671.6796875,40423.98046875,39291.78125,42055.12109375,42947.296875,0.050126876682043076,-0.25873374938964844,0.05012676492333412,0.1145438626408577,2523.314208984375,10473.1376953125,5650.01513671875,0.01201638113707304,0.11065246164798737
S1P10,522809.5037,7337006.972,1159.274902,0.005,30340.353515625,30453.498046875,27909.287109375,35303.8203125,38519.73046875,0.16690672934055328,Inf,0.16690631210803986,0.4011540412902832,8066.2333984375,30676.01171875,16065.5009765625,0.04441780224442482,0.2940208911895752
S1P11,522827.7323,7337014.247,1160.164673,0.005,35185.37109375,35666.3984375,33490.09765625,37647.41015625,39750.9296875,0.0921897143125534,0.3206002414226532,0.0921894982457161,0.23541435599327087,4084.5322265625,18378.431640625,7897.85498046875,0.02887542173266411,0.13460446894168854
S1P12,522840.5136,7337013.609,1161.123291,0.005,34573.00390625,35342.765625,31233.095703125,37999.0859375,40943.4453125,0.14241531491279602,-1.4970839023590088,0.14241497218608856,0.3411507308483124,5600.67919921875,28232.162109375,14628.9638671875,0.03807946667075157,0.19373059272766113
S1P13,522839.9187,7337012.52,1161.097168,0.005,38302.80859375,37225.578125,34482.453125,35672.83203125,37700.23828125,0.05753838270902634,-0.32338911294937134,0.057538215070962906,0.1253957897424698,474.6618347167969,9182.2587890625,5813.93310546875,0.029357364401221275,0.05551009625196457
S1P14,522839.2814,7337019.706,1161.076294,0.005,31204,32595.755859375,29587.01953125,36925.69921875,39400.5234375,0.1499979943037033,0.30856069922447205,0.14999762177467346,0.3593970835208893,6804.765625,28442.724609375,14617.8896484375,0.03350302577018738,0.24612006545066833
S1P15,522833.0923,7337019.861,1160.642334,0.005,36088.765625,36418.453125,34408.18359375,39179.36328125,41084.7734375,0.09481389820575714,-0.583968997001648,0.09481367468833923,0.23790106177330017,4666.31884765625,19525.5390625,8944.375,0.024739885702729225,0.1476033329963684
S1P16,522821.9126,7337021.377,1159.980957,0.005,35666.09375,35988.78125,34461.44921875,36710.55078125,39383.21875,0.0739172026515007,-0.21622318029403687,0.07391702383756638,0.17771345376968384,3394.43798828125,14253.2099609375,6789.5810546875,0.03801620006561279,0.13120616972446442
S1P17,522816.3856,7337023.804,1159.832031,0.005,26039.853515625,26898.923828125,24385.1171875,32483.83203125,36171.80859375,0.20383399724960327,0.7017863392829895,0.2038334161043167,0.47097107768058777,9272.8857421875,33767.2578125,20265.830078125,0.05452403053641319,0.3928505480289459
S1P18,522814.4729,7337023.232,1159.673462,0.005,28134.080078125,28446.365234375,26224.654296875,31339.54296875,34351.0625,0.13866157829761505,0.10851480811834335,0.138661190867424,0.329723984003067,5904.6982421875,23448.673828125,12169.03515625,0.04654446616768837,0.25626590847969055
S1P19,522811.9471,7337020.04,1159.484375,0.005,31577.31640625,32565.623046875,30469.79296875,37200.75390625,39866.43359375,0.14804697036743164,10.984731674194336,0.1480465829372406,0.35595396161079407,7300.80810546875,27148.5,13796.4833984375,0.037117358297109604,0.2769380211830139
S1P20,522808.9918,7337014.425,1159.330566,0.005,30429.798828125,30995.947265625,28270.03515625,37316.7421875,40662.1171875,0.1922755092382431,-11.084321975708008,0.1922750174999237,0.43594035506248474,9666.166015625,35329.31640625,22356.92578125,0.04317375645041466,0.3943215012550354
S1P21,522812.0928,7337009.923,1159.426636,0.005,38739.0546875,37928.94140625,36714.94140625,39345.8125,40685.55859375,0.05526917427778244,-0.47744324803352356,0.05526905134320259,0.13623160123825073,2756.61474609375,11554.974609375,5159.34619140625,0.017992055043578148,0.10213512182235718
S1P22,522826.3968,7337005.358,1160.050781,0.005,28240.453125,29083.23828125,28119.78515625,33992.07421875,36822.140625,0.13567855954170227,-1.2685625553131104,0.1356782168149948,0.341237872838974,7738.90234375,25298.595703125,10963.71875,0.04095829278230667,0.2805396020412445
S1P23,522833.0577,7337001.747,1160.450317,0.005,32009.03125,32457.15625,31974.22265625,35777.8515625,38352.28515625,0.09353001415729523,0.22400401532649994,0.09352979809045792,0.24585656821727753,5895.126953125,18693.86328125,7030.75732421875,0.03593841940164566,0.199561208486557
S1P24,522838.9044,7336998.049,1160.869019,0.005,29909.9140625,29671.083984375,27135.15625,33582.1953125,36110.04296875,0.14321976900100708,-0.1664881706237793,0.14321939647197723,0.3227493464946747,6438.9599609375,25635.998046875,15222.0771484375,0.03756912052631378,0.28877872228622437
S1P25,522844.1557,7337001.93,1161.233276,0.005,32782.51171875,35156.31640625,31332.537109375,42383.21484375,43794.46875,0.1780015528202057,0.18284381926059723,0.17800113558769226,0.40906018018722534,8638.150390625,35806.24609375,20986.083984375,0.017365286126732826,0.3082258999347687
S1P26,522847.6953,7337000.212,1161.526001,0.005,28622.228515625,30146.3984375,25245.642578125,37376.16015625,39962.26171875,0.2350902259349823,-6.107622146606445,0.23508961498737335,0.5425906181335449,9815.865234375,42405.109375,24885.087890625,0.03453478962182999,0.36840876936912537
S1P27,522852.4066,7337003.722,1162.043335,0.005,27899.142578125,26798.376953125,25882.87890625,29593.833984375,32270.357421875,0.11362654715776443,0.20217080414295197,0.11362621188163757,0.27194666862487793,5471.97900390625,18444.201171875,9039.52734375,0.04680976644158363,0.24911628663539886
S1P28,522848.3741,7337007.576,1161.673828,0.005,20819.556640625,22565.123046875,20212.822265625,32863.6875,37253.05859375,0.29951488971710205,3.0402469635009766,0.2995140254497528,0.6546408534049988,14687.9345703125,47874.06640625,32531.2578125,0.06362152099609375,0.7662699222564697
S1P29,522832.2274,7337019.655,1160.551392,0.005,27907.2734375,28193.18359375,26333.03515625,31685.248046875,33834.46484375,0.14115625619888306,2.1767995357513428,0.14115579426288605,0.3478521704673767,5641.28125,21865.998046875,10035.625,0.036333296447992325,0.23833990097045898
S1P30,522827.8207,7337024.124,1160.358398,0.005,32326.125,32924.98046875,31586.35546875,37518.8984375,39283.828125,0.11733484268188477,-1.0558607578277588,0.11733453720808029,0.2865920066833496,6358.85205078125,22260.4453125,10595.521484375,0.025675762444734573,0.24835127592086792
